post_id,title,category,score,num_comments,author,collected_at
47618189,Tailscale's new macOS home,technology,325,169,tosh,2026-04-02 21:51:49
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,428,150,pretext,2026-04-02 21:51:51
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),technology,156,74,sedev,2026-04-02 21:51:51
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,technology,443,97,AbuAssar,2026-04-02 21:51:52
47621792,Post Mortem: axios NPM supply chain compromise,technology,13,2,Kyro38,2026-04-02 21:51:52
47620933,Memo: A language that remembers only the last 12 lines of code,technology,22,4,notem,2026-04-02 21:51:53
47620857,ParadeDB (YC S23) Is Hiring Database Internal Engineers (Rust),technology,1,0,philippemnoel,2026-04-02 21:51:54
47621438,Show HN: Made a little Artemis II tracker,entertainment,33,11,codingmoh,2026-04-02 21:51:55
47617376,OpenAI Acquires TBPN,technology,146,128,surprisetalk,2026-04-02 21:51:58
47611921,Significant raise of reports,technology,278,147,stratos123,2026-04-02 21:51:59
47615490,Artemis computer running two instances of MS outlook; they can't figure out why,technology,319,236,mooreds,2026-04-02 21:52:01
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",entertainment,741,381,novaRom,2026-04-02 21:52:04
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,28,16,Realman78,2026-04-02 21:52:06
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,246,120,Growtika,2026-04-02 21:52:06
47615876,The case for zero-error horizons in trustworthy LLMs,technology,68,94,daigoba66,2026-04-02 21:52:09
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,technology,136,43,jackson-mcd,2026-04-02 21:52:11
47618221,The Australian government has announced gambling advertising reforms,worldnews,99,75,gostsamo,2026-04-02 21:52:12
47618247,Show HN: SyNumpy – a Header only C++17 library for working with NumPy Arrays,entertainment,13,1,symisc_devel,2026-04-02 21:52:14
47620381,AWS has officially removed all EC2 instances in Bahrain from their docs,technology,33,0,mirzap,2026-04-02 21:52:14
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,718,327,hkmaxpro,2026-04-02 21:52:15
